events,subjects,Pupil
1,1002,0.954143603
2,1002,0.104472839
3,1002,-0.372723099
4,1002,-1.440120743
5,1002,-1.499063923
6,1002,-1.54557156
7,1002,-1.274930995
8,1002,-1.450286791
9,1002,-2.01802211
10,1002,-1.934221384
11,1002,-0.566469364
12,1002,0.548080327
13,1002,0.733233784
14,1002,0.094259071
15,1002,0.650415848
16,1002,1.26090306
17,1002,1.018664029
18,1002,0.91467607
19,1002,0.607521227
20,1002,1.322324502
21,1002,1.480316166
22,1002,1.880731497
23,1002,1.158547484
24,1002,0.474397633
1,1003,1.783929906
2,1003,1.638767372
3,1003,1.504151576
4,1003,1.558618273
5,1003,0.5816633
6,1003,0.376209668
7,1003,-0.210546882
8,1003,-0.700656607
9,1003,-1.51559913
10,1003,-1.854110977
11,1003,-1.847993561
12,1003,-1.944778543
13,1003,-1.500263332
14,1003,-1.758046839
15,1003,-1.533184835
16,1003,-0.276589332
17,1003,-4.92E-05
18,1003,1.662538751
19,1003,2.193409297
20,1003,1.756185875
21,1003,0.935751464
22,1003,0.763917767
23,1003,0.07370711
24,1003,-0.71337477
1,1004,1.13770808
2,1004,-0.326336242
3,1004,0.722566676
4,1004,-0.093219642
5,1004,0.424155247
6,1004,1.339959629
7,1004,-0.080380462
8,1004,-0.303960776
9,1004,-0.75807012
10,1004,-0.778910201
11,1004,-0.60984044
12,1004,0.798006951
13,1004,-0.237369326
14,1004,-0.542568846
15,1004,0.605547113
16,1004,0.415033574
17,1004,0.348513538
18,1004,-0.070942976
19,1004,0.135526106
20,1004,-0.275453086
21,1004,-0.444836496
22,1004,0.069969108
23,1004,-0.074928422
24,1004,-0.649922409
1,1005,2.08544911
2,1005,0.618048606
3,1005,0.350640218
4,1005,-1.015055302
5,1005,-1.424261878
6,1005,0.093754072
7,1005,-1.284994629
8,1005,-1.330794732
9,1005,-0.420201788
10,1005,-0.70800607
11,1005,0.024316492
12,1005,0.094647257
13,1005,-0.485275778
14,1005,-0.611208711
15,1005,-0.244721139
16,1005,-0.381306781
17,1005,0.439314869
18,1005,0.271996523
19,1005,1.571190721
20,1005,1.236821338
21,1005,0.823390109
22,1005,1.091252319
23,1005,1.340273672
24,1005,-0.227609891
1,1006,2.36624374
2,1006,1.407191229
3,1006,0.611672223
4,1006,0.287365183
5,1006,-0.004356493
6,1006,-0.645148096
7,1006,-0.159961319
8,1006,-0.965093307
9,1006,-0.619776797
10,1006,-0.996568939
11,1006,-1.194819726
12,1006,-0.205109462
13,1006,0.436027973
14,1006,0.666176854
15,1006,-0.349197843
16,1006,-1.063862822
17,1006,-0.028625385
18,1006,1.961095574
19,1006,0.660972681
20,1006,-0.507103421
21,1006,-1.302579647
22,1006,-0.715365591
23,1006,0.398936806
24,1006,-1.482231614
1,1007,2.836707698
2,1007,1.004382972
3,1007,1.579028945
4,1007,0.023743816
5,1007,-0.252913788
6,1007,-0.86057431
7,1007,-0.316239506
8,1007,-1.141638122
9,1007,-0.986889767
10,1007,-0.975678634
11,1007,-1.142417521
12,1007,-0.849573675
13,1007,-0.970892481
14,1007,0.113943193
15,1007,0.116723964
16,1007,0.162654867
17,1007,-0.059650665
18,1007,-0.151280864
19,1007,0.196488106
20,1007,-0.61286739
21,1007,-0.198101755
22,1007,0.272529906
23,1007,1.56631998
24,1007,0.140818821
1,1008,2.24083754
2,1008,1.187545127
3,1008,-0.08894079
4,1008,0.78622252
5,1008,0.522084121
6,1008,-0.826409877
7,1008,0.518844611
8,1008,-0.641281971
9,1008,-0.404198378
10,1008,-1.347076518
11,1008,-0.515530041
12,1008,-0.26626245
13,1008,-0.807579538
14,1008,-1.167013693
15,1008,0.295397673
16,1008,-0.742962537
17,1008,0.42866496
18,1008,0.052258589
19,1008,0.745124875
20,1008,-0.299670189
21,1008,-1.111895652
22,1008,0.043536069
23,1008,-0.541436625
24,1008,-0.515246463
1,1009,2.253964217
2,1009,0.671394578
3,1009,0.912224685
4,1009,-0.816085771
5,1009,-1.471079435
6,1009,-1.662191536
7,1009,-1.784205692
8,1009,-1.758604156
9,1009,-1.393466466
10,1009,-1.682087164
11,1009,-0.815477536
12,1009,0.227397564
13,1009,0.171579122
14,1009,0.748782678
15,1009,1.057635806
16,1009,0.5574039
17,1009,0.432928166
18,1009,0.717489997
19,1009,0.37968481
20,1009,0.323236482
21,1009,0.329515286
22,1009,0.800161786
23,1009,1.020870529
24,1009,0.608151212
1,1010,1.410417978
2,1010,1.866668863
3,1010,-0.552686742
4,1010,-0.09478733
5,1010,-0.641905297
6,1010,-1.616133108
7,1010,-1.301407351
8,1010,-1.86317951
9,1010,-0.233533725
10,1010,0.142757935
11,1010,-0.978539359
12,1010,-1.048875363
13,1010,-0.641072655
14,1010,-0.975712124
15,1010,-0.119762019
16,1010,0.438861116
17,1010,0.033937767
18,1010,0.617523458
19,1010,0.831674806
20,1010,0.154342525
21,1010,1.004555869
22,1010,0.97593765
23,1010,1.217324481
24,1010,0.941666014
1,1011,0.788675563
2,1011,-0.56325756
3,1011,-0.437256714
4,1011,-0.65132687
5,1011,1.065968329
6,1011,-0.545900986
7,1011,-0.406812438
8,1011,-0.361201124
9,1011,0.153354558
10,1011,-0.84181025
11,1011,-1.311158623
12,1011,-0.587340604
13,1011,-0.017365699
14,1011,-1.018239838
15,1011,0.226603895
16,1011,-0.307972545
17,1011,-0.610576483
18,1011,-0.384433105
19,1011,1.297372918
20,1011,0.996294272
21,1011,0.047771387
22,1011,1.508512109
23,1011,1.967335397
24,1011,0.898628611
1,1012,2.767407602
2,1012,1.123897681
3,1012,1.104902885
4,1012,-0.130399158
5,1012,0.159422432
6,1012,-0.249456593
7,1012,-0.370455995
8,1012,-0.660147747
9,1012,-0.61148984
10,1012,-1.032901565
11,1012,-1.118544675
12,1012,-1.148038695
13,1012,-0.176875571
14,1012,0.438659842
15,1012,-1.645682496
16,1012,-0.54753333
17,1012,-0.866071135
18,1012,-0.18345161
19,1012,0.552403479
20,1012,-0.197645404
21,1012,-0.183273377
22,1012,1.052059196
23,1012,1.054578599
24,1012,0.469901435
1,1013,2.627085826
2,1013,1.594864493
3,1013,1.315471932
4,1013,1.14516686
5,1013,-0.267614745
6,1013,-1.154578261
7,1013,-1.889670559
8,1013,-2.036514421
9,1013,-1.837389263
10,1013,-1.666663244
11,1013,-0.637431153
12,1013,0.855659467
13,1013,0.151123276
14,1013,-0.084621518
15,1013,-0.612959683
16,1013,0.597658676
17,1013,0.087730777
18,1013,-0.151463022
19,1013,0.033381032
20,1013,-0.084486495
21,1013,0.939235271
22,1013,0.665957544
23,1013,-0.207244464
24,1013,0.158691613
1,1014,1.252222933
2,1014,0.812449262
3,1014,-0.0283032
4,1014,-0.129661172
5,1014,1.024073614
6,1014,-0.942631052
7,1014,-1.318476166
8,1014,-0.557310503
9,1014,0.344119604
10,1014,0.466075491
11,1014,-0.910898237
12,1014,-0.192728059
13,1014,-0.11220289
14,1014,0.000524159
15,1014,0.490328585
16,1014,0.211440102
17,1014,-0.972503851
18,1014,-0.156462016
19,1014,0.743170118
20,1014,0.843023703
21,1014,0.096321116
22,1014,-0.638969361
23,1014,0.574513409
24,1014,0.369511433
1,1015,0.388589829
2,1015,-0.752852421
3,1015,-1.212901335
4,1015,-1.789299017
5,1015,-1.949319789
6,1015,-2.123635576
7,1015,-1.468670221
8,1015,-1.669687642
9,1015,-0.560396973
10,1015,-1.623858092
11,1015,-1.393364379
12,1015,0.058395874
13,1015,0.463683641
14,1015,0.549435753
15,1015,1.247289585
16,1015,1.25268588
17,1015,0.593342756
18,1015,0.958207293
19,1015,0.686663425
20,1015,0.496170023
21,1015,1.345287642
22,1015,2.109204732
23,1015,2.268940584
24,1015,1.922163159
1,1016,0.657441855
2,1016,-0.810511272
3,1016,-1.10128328
4,1016,-1.341958627
5,1016,-1.629147654
6,1016,-1.455036476
7,1016,-0.299314152
8,1016,-0.745675207
9,1016,-0.147475498
10,1016,-0.385943451
11,1016,-0.533495367
12,1016,0.895499345
13,1016,1.087405035
14,1016,-0.59766317
15,1016,0.358300198
16,1016,-0.55650538
17,1016,-0.77707562
18,1016,0.116939304
19,1016,-0.22247806
20,1016,-0.527526639
21,1016,1.053686788
22,1016,1.551339721
23,1016,2.819461888
24,1016,1.982715852
1,1017,0.456587883
2,1017,-0.480894874
3,1017,0.0041933
4,1017,0.966627099
5,1017,1.013517346
6,1017,1.135484272
7,1017,0.755604436
8,1017,0.229958165
9,1017,-0.225347402
10,1017,-0.949818944
11,1017,-1.046649052
12,1017,-0.753331265
13,1017,-0.529672345
14,1017,1.994781307
15,1017,0.418592623
16,1017,0.117401992
17,1017,-0.227941742
18,1017,-0.15062139
19,1017,-0.692865999
20,1017,-0.701698417
21,1017,-0.437790341
22,1017,0.125794337
23,1017,-0.295144833
24,1017,-0.518412047
1,1018,1.607701466
2,1018,1.155786792
3,1018,0.528642645
4,1018,-0.677860732
5,1018,-0.0459828
6,1018,-0.035029147
7,1018,-0.774838738
8,1018,-0.560721928
9,1018,-0.959922987
10,1018,-1.462251976
11,1018,-1.13769105
12,1018,-1.280664638
13,1018,-1.226913823
14,1018,-0.832824214
15,1018,-0.233781777
16,1018,0.372751228
17,1018,-0.340031339
18,1018,-0.078293529
19,1018,0.655402332
20,1018,1.034578724
21,1018,0.678483894
22,1018,1.758563591
23,1018,1.219133266
24,1018,1.110012032
1,1019,1.766310861
2,1019,-0.725707363
3,1019,-1.956849592
4,1019,-2.222959866
5,1019,-1.998425053
6,1019,-1.765392888
7,1019,-0.665119052
8,1019,-0.037113671
9,1019,0.286438556
10,1019,-0.413099835
11,1019,-0.722589517
12,1019,-0.954898421
13,1019,-0.68812972
14,1019,-0.62437587
15,1019,0.201477328
16,1019,0.516800385
17,1019,1.333298332
18,1019,1.204909052
19,1019,1.962930366
20,1019,0.651024396
21,1019,1.160161378
22,1019,0.936614579
23,1019,0.607986548
24,1019,1.043833401
1,1020,1.161701329
2,1020,0.225440791
3,1020,0.177957274
4,1020,-0.469570796
5,1020,-0.352211782
6,1020,-0.533494043
7,1020,-1.174374807
8,1020,-1.161793997
9,1020,-0.67355753
10,1020,-0.429310354
11,1020,0.01349135
12,1020,-0.288179801
13,1020,-0.119212107
14,1020,0.509619633
15,1020,-0.114047919
16,1020,0.196497726
17,1020,-0.032782141
18,1020,0.877762081
19,1020,-0.415117812
20,1020,0.630142119
21,1020,0.897113123
22,1020,0.845189724
23,1020,-0.170444377
24,1020,0.695202009
1,1021,2.866360062
2,1021,0.966596859
3,1021,0.400857737
4,1021,-0.204750863
5,1021,0.526360081
6,1021,-0.176473147
7,1021,-0.319269342
8,1021,-0.903016495
9,1021,-1.258723125
10,1021,-1.28003834
11,1021,0.522398173
12,1021,-0.634498313
13,1021,-0.871212865
14,1021,-0.670598749
15,1021,-0.544719788
16,1021,-0.678509877
17,1021,-0.348234124
18,1021,-0.062121759
19,1021,-0.484310931
20,1021,1.796989564
21,1021,1.000297548
22,1021,0.393283259
23,1021,0.112292109
24,1021,0.243410285
1,1022,
2,1022,
3,1022,
4,1022,
5,1022,
6,1022,
7,1022,
8,1022,
9,1022,
10,1022,
11,1022,
12,1022,
13,1022,
14,1022,
15,1022,
16,1022,
17,1022,
18,1022,
19,1022,
20,1022,
21,1022,
22,1022,
23,1022,
24,1022,
1,1023,0.755854629
2,1023,-0.149377712
3,1023,-0.375584269
4,1023,-0.482665602
5,1023,-0.603968589
6,1023,-0.77136812
7,1023,-0.250989263
8,1023,-1.260756601
9,1023,-0.576556573
10,1023,-0.583141571
11,1023,1.071749085
12,1023,0.17311648
13,1023,0.501461216
14,1023,0.205273212
15,1023,0.114716227
16,1023,0.346553772
17,1023,-0.840708706
18,1023,0.203793487
19,1023,1.310441794
20,1023,0.631314594
21,1023,0.492556496
22,1023,0.344889618
23,1023,0.489188501
24,1023,0.573536466
1,1024,0.464073768
2,1024,0.363025904
3,1024,0.290134013
4,1024,0.290046606
5,1024,-0.084822426
6,1024,0.803750921
7,1024,0.190818207
8,1024,0.193863215
9,1024,0.185103066
10,1024,-0.868908871
11,1024,-1.030262396
12,1024,-0.297564535
13,1024,0.012632224
14,1024,0.675606581
15,1024,-0.672267772
16,1024,0.614332838
17,1024,0.832949944
18,1024,0.014555492
19,1024,1.710806872
20,1024,-0.155338726
21,1024,-1.671312836
22,1024,-1.426520241
23,1024,0.466491009
24,1024,-0.217573166
1,1025,1.105821178
2,1025,-0.053327115
3,1025,-0.861788126
4,1025,-0.91480275
5,1025,-1.683072892
6,1025,-1.539018761
7,1025,-1.528403658
8,1025,-1.079161986
9,1025,-0.622567615
10,1025,-0.476476486
11,1025,-0.822432186
12,1025,0.344609329
13,1025,0.595030746
14,1025,1.728445269
15,1025,0.832581558
16,1025,0.14023164
17,1025,0.748773556
18,1025,0.682422472
19,1025,0.309037653
20,1025,0.454204504
21,1025,0.302346152
22,1025,1.951986787
23,1025,0.356643895
24,1025,0.243721125
1,1026,2.520770886
2,1026,1.877213473
3,1026,0.402423416
4,1026,-0.433354656
5,1026,-1.287762644
6,1026,-1.75018576
7,1026,-1.477007865
8,1026,-1.387913461
9,1026,-1.515432252
10,1026,-0.427090382
11,1026,-0.285507376
12,1026,-0.760066401
13,1026,-0.946393162
14,1026,-0.053643833
15,1026,-0.175704205
16,1026,0.727129315
17,1026,0.032702288
18,1026,0.259530318
19,1026,1.461865697
20,1026,0.762804612
21,1026,0.852363599
22,1026,0.520933637
23,1026,1.206098504
24,1026,0.954672738
1,1028,1.583281072
2,1028,-0.037257923
3,1028,-1.483821814
4,1028,-0.865632605
5,1028,-0.897828824
6,1028,-0.925437333
7,1028,0.239849541
8,1028,-0.681793528
9,1028,0.351636627
10,1028,-0.608964531
11,1028,1.091574929
12,1028,-0.436345293
13,1028,-0.768554353
14,1028,-0.433645477
15,1028,0.650248321
16,1028,0.391478689
17,1028,1.802012474
18,1028,-0.370282347
19,1028,-0.313911968
20,1028,-1.073956334
21,1028,-0.937434949
22,1028,0.65413301
23,1028,1.281999778
24,1028,0.092506143
1,1029,2.013576096
2,1029,0.704748138
3,1029,-1.309804386
4,1029,-2.166626219
5,1029,-1.891621725
6,1029,-1.764987798
7,1029,-1.10778793
8,1029,-1.019522267
9,1029,-0.778646285
10,1029,-0.892008281
11,1029,-0.605251078
12,1029,1.130768629
13,1029,0.788986422
14,1029,0.550450735
15,1029,0.17004308
16,1029,0.229782004
17,1029,-0.185415092
18,1029,-0.039819824
19,1029,1.239194537
20,1029,0.934009471
21,1029,1.354842087
22,1029,1.361123325
23,1029,0.803827345
24,1029,0.856829661
1,1030,1.892328948
2,1030,-0.626057805
3,1030,-1.144497399
4,1030,-0.944567187
5,1030,-0.995904815
6,1030,-0.894152871
7,1030,-1.446595039
8,1030,-1.593524148
9,1030,-1.550647472
10,1030,-0.920384502
11,1030,-0.542941381
12,1030,-0.640271492
13,1030,-0.762392166
14,1030,-1.03571884
15,1030,0.006843532
16,1030,1.142456052
17,1030,1.923945075
18,1030,0.713131675
19,1030,-0.201455421
20,1030,-0.393069157
21,1030,-0.001365841
22,1030,1.839738143
23,1030,2.438562104
24,1030,2.334289587
1,1031,1.957834506
2,1031,0.562391417
3,1031,-0.054904187
4,1031,0.648562239
5,1031,0.119228399
6,1031,-0.255684343
7,1031,-0.076632382
8,1031,0.641804852
9,1031,0.530462516
10,1031,0.15174922
11,1031,0.665195053
12,1031,-1.095170916
13,1031,-0.198791683
14,1031,-0.45824953
15,1031,-0.756370432
16,1031,-0.725416043
17,1031,-0.250854986
18,1031,-0.415368076
19,1031,-0.606166698
20,1031,-0.276494547
21,1031,-0.368170346
22,1031,-0.50803031
23,1031,0.274560345
24,1031,-0.071986603
1,1033,1.619363701
2,1033,1.267715958
3,1033,1.361929686
4,1033,-0.028168572
5,1033,0.064141527
6,1033,0.560481221
7,1033,-0.96518235
8,1033,-1.51158496
9,1033,-1.76904101
10,1033,-1.916072412
11,1033,-1.43868838
12,1033,-1.779466038
13,1033,-0.956530158
14,1033,-1.156736992
15,1033,0.984614981
16,1033,0.823827284
17,1033,-0.37962733
18,1033,-0.074581387
19,1033,-0.655545701
20,1033,-1.060791707
21,1033,1.726762939
22,1033,2.423410245
23,1033,2.047043604
24,1033,1.386819586
1,1034,1.124480827
2,1034,0.06918667
3,1034,-1.176324587
4,1034,-1.856478562
5,1034,-1.376291309
6,1034,-0.995764641
7,1034,-0.817542023
8,1034,-1.271971179
9,1034,1.047465877
10,1034,2.126599725
11,1034,1.394008509
12,1034,0.533228842
13,1034,-0.022712746
14,1034,-0.5918487
15,1034,0.055042948
16,1034,1.126199027
17,1034,1.670474218
18,1034,0.089313669
19,1034,-1.234499017
20,1034,-1.487957259
21,1034,-1.733836931
22,1034,-0.460330182
23,1034,1.460814592
24,1034,0.872626832
1,1036,1.332875841
2,1036,-0.034296207
3,1036,-0.272341316
4,1036,0.850632086
5,1036,-1.637775914
6,1036,0.448348256
7,1036,0.112126859
8,1036,-0.601717378
9,1036,-0.461496382
10,1036,-0.693491143
11,1036,-0.999822185
12,1036,-1.358560927
13,1036,0.643620097
14,1036,-0.778254447
15,1036,-0.471648082
16,1036,0.723425017
17,1036,-0.410665329
18,1036,-0.310314847
19,1036,1.649591397
20,1036,-1.066278416
21,1036,0.106085627
22,1036,1.385335846
23,1036,1.308214466
24,1036,0.912750705
